CPU Usage: 4.6%
Memory Usage: 70.8%
MeuModulo(
   (layer1): Linear(input_dim=50, output_dim=100, bias=True)
   (sigmoid1): Sigmoid()
   (layer2): Linear(input_dim=100, output_dim=2, bias=True)
   (sigmoid2): Sigmoid()
)
1.28607177734375
         847289 function calls (839027 primitive calls) in 2.505 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      112    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       11    0.000    0.000    0.000    0.000 abc.py:89(register)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
      197    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
      192    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        6    0.000    0.000    0.000    0.000 core.py:1146(__init__)
        1    0.000    0.000    0.000    0.000 pickle.py:407(_Pickler)
       73    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
    40/28    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        5    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
       11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       70    0.000    0.000    0.000    0.000 enum.py:631(__new__)
      433    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      192    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      289    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      152    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
       36    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
       42    0.000    0.000    0.000    0.000 getlimits.py:101(_float_conv)
       31    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      466    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       16    0.000    0.000    0.000    0.000 __init__.py:383(__getattr__)
      194    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 core.py:2808(__new__)
       28    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.000    0.000 ast.py:405(NodeTransformer)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
       14    0.000    0.000    0.000    0.000 core.py:8239(_replace_return_type)
       31    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
       16    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6753(refer_to_array_attribute)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
       37    0.000    0.000    0.000    0.000 enum.py:543(_find_data_type)
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
      177    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      403    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 __init__.py:1733(calculate)
        2    0.000    0.000    0.000    0.000 core.py:2966(__array_finalize__)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
       93    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
      120    0.000    0.000    0.000    0.000 tensor.py:167(zero_grad)
       47    0.000    0.000    0.000    0.000 re.py:270(escape)
       72    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 defchararray.py:1908(chararray)
       61    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:298(Process)
        1    0.000    0.000    0.000    0.000 threading.py:1262(__init__)
        1    0.000    0.000    0.000    0.000 inspect.py:2428(_ParameterKind)
       28    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      317    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
      109    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 _pslinux.py:600(per_cpu_times)
        1    0.000    0.000    0.000    0.000 sgd.py:9(<listcomp>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _psposix.py:66(<listcomp>)
       47    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
        4    0.000    0.000    0.000    0.000 enum.py:932(__or__)
        4    0.000    0.000    0.000    0.000 tensor.py:90(zeros_like)
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
      331    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
      121    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      317    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
      218    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      172    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 selectors.py:80(BaseSelector)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:430(__enter__)
        1    0.000    0.000    0.000    0.000 polyutils.py:1(<module>)
       16    0.000    0.000    0.000    0.000 __init__.py:390(__getitem__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:211(_set_array_types)
        1    0.000    0.000    0.000    0.000 datetime.py:2181(timezone)
        1    0.000    0.000    0.000    0.000 core.py:3115(view)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
       83    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       41    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:83(<genexpr>)
        1    0.000    0.000    0.000    0.000 os.py:42(_get_exports_list)
      118    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 activation.py:1(<module>)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       98    0.000    0.000    0.000    0.000 types.py:171(__get__)
        8    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 numerictypes.py:588(_register_types)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
      144    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        2    0.000    0.000    0.000    0.000 enum.py:889(_missing_)
        3    0.000    0.000    0.000    0.000 datetime.py:1567(__new__)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
       82    0.000    0.000    0.000    0.000 overrides.py:121(decorator)
      186    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
        2    0.000    0.000    0.000    0.000 enum.py:899(_create_pseudo_member_)
      120    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
        1    0.000    0.000    0.000    0.000 __init__.py:1671(_cpu_times_deltas)
        2    0.000    0.000    0.000    0.000 core.py:6721(__init__)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
      192    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      288    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       82    0.000    0.000    0.000    0.000 overrides.py:110(set_module)
        1    0.000    0.000    0.000    0.000 core.py:6545(__array_finalize__)
        2    0.000    0.000    0.000    0.000 contextlib.py:71(__call__)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
        1    0.000    0.000    0.000    0.000 numerictypes.py:440(_construct_lookups)
        1    0.000    0.000    0.000    0.000 pickle.py:1136(_Unpickler)
        1    0.000    0.000    0.000    0.000 __init__.py:335(_sanity_check)
      317    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       31    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       62    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        2    0.000    0.000    0.000    0.000 enum.py:978(_decompose)
       78    0.000    0.000    0.000    0.000 _internal.py:880(<genexpr>)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.000    0.000 datetime.py:661(__neg__)
       76    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
       24    0.000    0.000    0.000    0.000 numerictypes.py:513(_scalar_type_key)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:71(_from_ctypes_scalar)
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1465(<genexpr>)
        1    0.000    0.000    0.000    0.000 linalg.py:74(_determine_error_states)
        1    0.000    0.000    0.000    0.000 format.py:1(<module>)
        2    0.000    0.000    0.000    0.000 tensor.py:569(T)
      238    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       30    0.000    0.000    0.000    0.000 _type_aliases.py:203(_add_array_type)
        4    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      321    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        3    0.000    0.000    0.000    0.000 contextlib.py:211(contextmanager)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:46(<genexpr>)
        1    0.000    0.000    0.000    0.000 loss.py:1(<module>)
        7    0.000    0.000    0.000    0.000 _common.py:444(memoize_when_activated)
        2    0.000    0.000    0.000    0.000 functools.py:525(decorating_function)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:18(numeric_type_aliases)
       14    0.000    0.000    0.000    0.000 enum.py:522(_check_for_existing_members)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:435(__exit__)
       31    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
        1    0.000    0.000    0.000    0.000 __init__.py:261(_reset_cache)
        1    0.000    0.000    0.000    0.000 _machar.py:1(<module>)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(get_filename)
       24    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:498(PYFUNCTYPE)
        5    0.000    0.000    0.000    0.000 datetime.py:411(_check_date_fields)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        4    0.000    0.000    0.000    0.000 _common.py:400(memoize)
       24    0.000    0.000    0.000    0.000 tokenize.py:94(<listcomp>)
        2    0.000    0.000    0.000    0.000 posixpath.py:372(abspath)
        1    0.000    0.000    0.000    0.000 tensor.py:5(CTensor)
        4    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
      252    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       18    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        7    0.000    0.000    0.000    0.000 getlimits.py:668(__init__)
       31    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        2    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
       63    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 arrayterator.py:1(<module>)
        9    0.000    0.000    0.000    0.000 overrides.py:23(set_array_function_like_doc)
        1    0.000    0.000    0.000    0.000 pathlib.py:120(_WindowsFlavour)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
       31    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:74(_add_types)
        1    0.000    0.000    0.000    0.000 optimizer.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:132(geterr)
        2    0.000    0.000    0.000    0.000 core.py:2940(_update_from)
       18    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:19(type_aliases_gen)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:839(create_module)
       63    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        4    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
      207    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 threading.py:761(__init__)
        2    0.000    0.000    0.000    0.000 arrayprint.py:503(decorating_function)
        2    0.000    0.000    0.000    0.000 datetime.py:1236(__new__)
        1    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:123(_add_integer_aliases)
        5    0.000    0.000    0.000    0.000 datetime.py:424(_check_time_fields)
       55    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
        2    0.000    0.000    0.000    0.000 activation.py:16(__init__)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.round}
       20    0.000    0.000    0.000    0.000 mixins.py:16(_binary_method)
        2    0.000    0.000    0.000    0.000 enum.py:997(<listcomp>)
        1    0.000    0.000    0.000    0.000 polynomial.py:1472(Polynomial)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
      252    0.000    0.000    0.000    0.000 inspect.py:366(<lambda>)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:1(<module>)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
       14    0.000    0.000    0.000    0.000 enum.py:370(__getattr__)
        1    0.000    0.000    0.000    0.000 pathlib.py:629(PurePath)
       10    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 ufunclike.py:16(_deprecate_out_named_y)
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
       14    0.000    0.000    0.000    0.000 enum.py:175(<dictcomp>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(concatenate)
        1    0.000    0.000    0.000    0.000 _globals.py:93(_CopyMode)
        6    0.000    0.000    0.000    0.000 os.py:670(__getitem__)
        2    0.000    0.000    0.000    0.000 datetime.py:819(__new__)
        2    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       19    0.000    0.000    0.000    0.000 tokenize.py:58(group)
        6    0.000    0.000    0.000    0.000 __init__.py:266(_assert_pid_not_reused)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
       14    0.000    0.000    0.000    0.000 enum.py:68(__init__)
        2    0.000    0.000    0.000    0.000 activation.py:8(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:187(<dictcomp>)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
       13    0.000    0.000    0.000    0.000 mixins.py:36(_inplace_binary_method)
        2    0.000    0.000    0.000    0.000 random.py:94(__init__)
        1    0.000    0.000    0.000    0.000 _dtype.py:1(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:638(_use_posix_spawn)
       46    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.000    0.000 _iotools.py:450(StringConverter)
       12    0.000    0.000    0.000    0.000 opcode.py:43(name_op)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        2    0.000    0.000    0.000    0.000 os.py:684(__delitem__)
       14    0.000    0.000    0.000    0.000 mixins.py:26(_reflected_binary_method)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        3    0.000    0.000    0.000    0.000 _pslinux.py:596(<listcomp>)
       48    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        4    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
        8    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 datetime.py:1559(datetime)
        1    0.000    0.000    0.000    0.000 module.py:86(__repr__)
        1    0.000    0.000    0.000    0.000 __init__.py:1276(<listcomp>)
        1    0.000    0.000    0.000    0.000 _pslinux.py:118(IOPriority)
        1    0.000    0.000    0.000    0.000 os.py:46(<listcomp>)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:151(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 _internal.py:239(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 pathlib.py:1025(Path)
        1    0.000    0.000    0.000    0.000 random.py:123(seed)
        1    0.000    0.000    0.000    0.000 polynomial.py:1076(poly1d)
       58    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        1    0.000    0.000    0.000    0.000 threading.py:519(set)
       12    0.000    0.000    0.000    0.000 os.py:748(encode)
        7    0.000    0.000    0.000    0.000 core.py:2544(_arraymethod)
       13    0.000    0.000    0.000    0.000 _internal.py:917(npy_ctypes_check)
       16    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        9    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
        1    0.000    0.000    0.000    0.000 _common.py:140(NicDuplex)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:54(_get_platform_and_machine)
        8    0.000    0.000    0.000    0.000 _pslinux.py:614(<listcomp>)
        1    0.000    0.000    0.000    0.000 _version.py:20(get_versions)
      101    0.000    0.000    0.000    0.000 enum.py:506(<lambda>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:72(matrix)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
        1    0.000    0.000    0.000    0.000 socket.py:213(socket)
        1    0.000    0.000    0.000    0.000 datetime.py:789(date)
        1    0.000    0.000    0.000    0.000 _dtype_ctypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:750(Thread)
        2    0.000    0.000    0.000    0.000 {built-in method posix.uname}
        1    0.000    0.000    0.000    0.000 subprocess.py:688(Popen)
        1    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 numeric.py:150(ones)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
        2    0.000    0.000    0.000    0.000 posixpath.py:334(normpath)
        1    0.000    0.000    0.000    0.000 __init__.py:216(<dictcomp>)
        1    0.000    0.000    0.000    0.000 hermite.py:1658(Hermite)
        2    0.000    0.000    0.000    0.000 __init__.py:1636(_cpu_tot_time)
       39    0.000    0.000    0.000    0.000 enum.py:223(<genexpr>)
        1    0.000    0.000    0.000    0.000 threading.py:903(_set_tstate_lock)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1995(Chebyshev)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f27abb9bee0}
        1    0.000    0.000    0.000    0.000 datetime.py:1211(time)
        1    0.000    0.000    0.000    0.000 datetime.py:469(timedelta)
        1    0.000    0.000    0.000    0.000 decoder.py:332(decode)
        4    0.000    0.000    0.000    0.000 posixpath.py:71(join)
        1    0.000    0.000    0.000    0.000 pathlib.py:399(_NormalAccessor)
       70    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        6    0.000    0.000    0.000    0.000 _exceptions.py:17(_display_as_base)
       33    0.000    0.000    0.000    0.000 enum.py:393(<genexpr>)
        1    0.000    0.000    0.000    0.000 loss.py:18(__init__)
       53    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 legendre.py:1619(Legendre)
        1    0.000    0.000    0.000    0.000 laguerre.py:1606(Laguerre)
        1    0.000    0.000    0.000    0.000 _common.py:152(BatteryTime)
        1    0.000    0.000    0.000    0.000 threading.py:505(__init__)
       23    0.000    0.000    0.000    0.000 overrides.py:217(array_function_from_dispatcher)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1650(HermiteE)
        2    0.000    0.000    0.000    0.000 os.py:678(__setitem__)
       30    0.000    0.000    0.000    0.000 functions.py:77(__init__)
        1    0.000    0.000    0.000    0.000 loss.py:7(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:510(_PreciseSelector)
        1    0.000    0.000    0.000    0.000 random.py:721(getrandbits)
        1    0.000    0.000    0.000    0.000 core.py:6517(MaskedConstant)
        6    0.000    0.000    0.000    0.000 _type_aliases.py:92(<genexpr>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1205(__init__)
       18    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
       20    0.000    0.000    0.000    0.000 _inspect.py:142(<lambda>)
       48    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
       55    0.000    0.000    0.000    0.000 enum.py:748(name)
        1    0.000    0.000    0.000    0.000 inspect.py:2457(Parameter)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1221(_get_parent_path)
       36    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 threading.py:222(__init__)
        1    0.000    0.000    0.000    0.000 inspect.py:2742(Signature)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1238(__iter__)
        6    0.000    0.000    0.000    0.000 opcode.py:47(jrel_op)
        1    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method posix.unsetenv}
        1    0.000    0.000    0.000    0.000 threading.py:364(notify_all)
       18    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
       14    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        4    0.000    0.000    0.000    0.000 getlimits.py:692(max)
        1    0.000    0.000    0.000    0.000 os.py:766(getenv)
        2    0.000    0.000    0.000    0.000 functools.py:487(lru_cache)
       21    0.000    0.000    0.000    0.000 _inspect.py:143(<lambda>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:41(<setcomp>)
        1    0.000    0.000    0.000    0.000 parse.py:364(_fix_result_transcoding)
        1    0.000    0.000    0.000    0.000 _inspect.py:1(<module>)
       13    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:441(_setdef)
        1    0.000    0.000    0.000    0.000 _common.py:388(usage_percent)
        1    0.000    0.000    0.000    0.000 core.py:6322(mvoid)
       18    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:79(<genexpr>)
       81    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       16    0.000    0.000    0.000    0.000 _dtype.py:24(_kind_name)
        1    0.000    0.000    0.000    0.000 threading.py:900(_set_native_id)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
        1    0.000    0.000    0.000    0.000 core.py:1329(make_mask_descr)
        2    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        4    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
        1    0.000    0.000    0.000    0.000 traceback.py:440(TracebackException)
        1    0.000    0.000    0.000    0.000 inspect.py:2612(BoundArguments)
        1    0.000    0.000    0.000    0.000 getlimits.py:364(finfo)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
       18    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        5    0.000    0.000    0.000    0.000 opcode.py:51(jabs_op)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        5    0.000    0.000    0.000    0.000 _ufunc_config.py:426(__init__)
        1    0.000    0.000    0.000    0.000 random.py:78(Random)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _iotools.py:229(NameValidator)
        9    0.000    0.000    0.000    0.000 _pytesttester.py:76(__init__)
        1    0.000    0.000    0.000    0.000 _datasource.py:196(DataSource)
       43    0.000    0.000    0.000    0.000 enum.py:753(value)
       78    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
        1    0.000    0.000    0.000    0.000 npyio.py:106(NpzFile)
       77    0.000    0.000    0.000    0.000 signal.py:17(<lambda>)
        1    0.000    0.000    0.000    0.000 pathlib.py:136(<setcomp>)
        3    0.000    0.000    0.000    0.000 index_tricks.py:323(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
       68    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 _internal.py:613(_Stream)
        1    0.000    0.000    0.000    0.000 core.py:1315(_replace_dtype_fields)
        1    0.000    0.000    0.000    0.000 threading.py:341(notify)
        1    0.000    0.000    0.000    0.000 extras.py:1567(__init__)
       10    0.000    0.000    0.000    0.000 enum.py:398(__members__)
        2    0.000    0.000    0.000    0.000 core.py:6620(__setattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:1655(_cpu_busy_time)
        5    0.000    0.000    0.000    0.000 enum.py:1015(_power_of_two)
        1    0.000    0.000    0.000    0.000 _internal.py:248(_ctypes)
        5    0.000    0.000    0.000    0.000 _common.py:836(get_procfs_path)
        1    0.000    0.000    0.000    0.000 pathlib.py:57(_Flavour)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1225(_recalculate)
        3    0.000    0.000    0.000    0.000 datetime.py:2201(_create)
       25    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        1    0.000    0.000    0.000    0.000 subprocess.py:99(CalledProcessError)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 core.py:977(_MaskedBinaryOperation)
        1    0.000    0.000    0.000    0.000 _common.py:634(outer)
        1    0.000    0.000    0.000    0.000 bz2.py:30(BZ2File)
        8    0.000    0.000    0.000    0.000 getlimits.py:153(_register_type)
        1    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        4    0.000    0.000    0.000    0.000 mixins.py:51(_unary_method)
        2    0.000    0.000    0.000    0.000 linear.py:16(inner_repr)
        1    0.000    0.000    0.000    0.000 core.py:191(<listcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method posix.putenv}
        1    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
        1    0.000    0.000    0.000    0.000 datetime.py:1141(tzinfo)
        1    0.000    0.000    0.000    0.000 _internal.py:216(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 arrayprint.py:905(FloatingFormat)
       17    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 posixpath.py:150(dirname)
        1    0.000    0.000    0.000    0.000 threading.py:573(Barrier)
        1    0.000    0.000    0.000    0.000 threading.py:376(Semaphore)
        1    0.000    0.000    0.000    0.000 sre_parse.py:861(_parse_flags)
